TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
2.9855 0.0354 0.14035
7.0612 0.219 0.0727
10.542 0.39135 0.43705
9.5785 0.3786 0.50725
0.0 0.0202 0.3382
3.2322 0.70645 0.6049
11.2779 0.3545 0.51885
7.5161 0.08245 0.56455
3.8914 0.0291 0.45155
5.9715 0.0295 0.59715
9.9408 0.74595 0.76935
8.938 0.0587 0.483
1.8932 0.5061 0.7136
5.8634 0.5925 0.3954
6.561 0.1821 0.8461
13.6055 0.47065 0.88565
11.6087 0.0483 0.0673
4.5292 0.142 0.7208
0.6157 0.0619 0.20025
0.0 0.6748 0.4016
3.2505 0.069 0.733
2.7772 0.0513 0.19495
7.9005 0.2973 0.71655
6.3975 0.4117 0.7402
1.7636 0.645 0.738
3.1241 0.7551 0.8891
9.2304 0.8427 0.84395
6.3975 0.6263 0.63385
10.2311 0.8726 0.7693
6.9783 0.5678 0.78
8.2193 0.03655 0.70035
9.4868 0.0683 0.0589
8.627 0.0493 0.2678
7.335 0.1141 0.5381
1.2208 0.0815 0.0278
10.2063 0.47335 0.78935
9.2966 0.3344 0.8998
11.2402 0.7293 0.8662
5.3919 0.4899 0.7248
8.8533 0.12355 0.6538
8.351 0.515 0.5502
0.8468 0.0821 0.4347
0.6157 0.2503 0.1095
9.7268 0.10075 0.4759
3.967 0.523 0.6733
4.2753 0.0592 0.53575
9.088 0.1035 0.2042
6.776 0.5642 0.4611
12.8045 0.3395 0.8492
9.462 0.5033 0.6166
1.5176 0.8478 0.7635
4.9822 0.5855 0.1926
4.8816 0.0795 0.5579
6.6893 0.3014 0.4193
4.842 0.0544 0.8097
8.5597 0.40785 0.3309
11.1307 0.5155 0.8067
7.8212 0.0336 0.8519
0.3405 0.67985 0.6343
11.5621 0.20605 0.6703
6.37 0.1337 0.8552
10.08 0.37495 0.4953
0.6157 0.62095 0.0303
5.0533 0.0546 0.53665
9.4879 0.22265 0.40005
4.3145 0.1166 0.3716
10.2394 0.44545 0.6818
7.926 0.5554 0.8325
6.8276 0.8204 0.3456
4.5621 0.8529 0.70785
4.0848 0.3978 0.4304
